"","School List","FT Male","FT Female","FT AGI","FT BIPOC","FT Total","FT White","Year","State"
"231","CLEVELAND STATE UNIVERSITY",52,35,0,14,87,73,2018,"OHIO"
"232","COLORADO, UNIVERSITY OF",74,48,0,22,122,100,2018,"COLORADO"
"233","COLUMBIA UNIVERSITY",269,133,0,49,402,353,2018,"NEW YORK"
"234","CONNECTICUT, UNIVERSITY OF",99,58,0,18,157,139,2018,"CONNECTICUT"
"235","CORNELL UNIVERSITY",95,51,0,17,146,129,2018,"NEW YORK"
"236","CREIGHTON UNIVERSITY",43,16,0,5,59,54,2018,"NEBRASKA"
"237","DAYTON, UNIVERSITY OF",43,26,0,8,69,61,2018,"OHIO"
"238","DENVER, UNIVERSITY OF",103,66,1,23,170,147,2018,"COLORADO"
"239","DEPAUL UNIVERSITY",80,67,0,30,147,117,2018,"ILLINOIS"
"240","DETROIT MERCY, UNIVERSITY OF",54,42,0,15,96,81,2018,"MICHIGAN"
"241","DISTRICT OF COLUMBIA",29,39,0,32,68,36,2018,"DISTRICT OF COLUMBIA"
"242","DRAKE UNIVERSITY",39,31,0,5,70,65,2018,"IOWA"
"243","DREXEL UNIVERSITY",67,65,0,27,132,105,2018,"PENNSYLVANIA"
"244","DUKE UNIVERSITY",117,64,0,21,181,160,2018,"NORTH CAROLINA"
"245","DUQUESNE UNIVERSITY",64,33,0,9,97,88,2018,"PENNSYLVANIA"
"246","ELON UNIVERSITY",37,35,0,8,72,64,2018,"NORTH CAROLINA"
"247","EMORY UNIVERSITY",113,80,9,27,202,175,2018,"GEORGIA"
"248","FAULKNER UNIVERSITY",23,10,0,4,33,29,2018,"ALABAMA"
"249","FLORIDA A&M UNIVERSITY",32,40,0,49,72,23,2018,"FLORIDA"
"250","FLORIDA INTERNATIONAL UNIVERSITY",59,30,0,44,89,45,2018,"FLORIDA"
"251","FLORIDA STATE UNIVERSITY",74,41,0,16,115,99,2018,"FLORIDA"
"252","FLORIDA, UNIVERSITY OF",190,129,0,57,319,262,2018,"FLORIDA"
"253","FORDHAM UNIVERSITY",220,138,0,47,358,311,2018,"NEW YORK"
"254","GEORGE MASON UNIVERSITY",148,64,0,32,212,180,2018,"VIRGINIA"
"255","GEORGE WASHINGTON UNIVERSITY",344,147,0,68,491,423,2018,"DISTRICT OF COLUMBIA"
"256","GEORGETOWN UNIVERSITY",557,255,3,35,815,780,2018,"DISTRICT OF COLUMBIA"
"257","GEORGIA STATE UNIVERSITY",73,63,0,20,137,117,2018,"GEORGIA"
"258","GEORGIA, UNIVERSITY OF",58,43,0,16,101,85,2018,"GEORGIA"
"259","GOLDEN GATE UNIVERSITY",60,62,0,25,122,97,2018,"CALIFORNIA"
"260","GONZAGA UNIVERSITY",41,25,0,7,66,59,2018,"WASHINGTON"
"261","HARVARD UNIVERSITY",229,111,0,56,340,284,2018,"MASSACHUSETTS"
"262","HAWAII, UNIVERSITY OF",60,55,0,48,115,67,2018,"HAWAII"
"263","HOFSTRA UNIVERSITY",93,60,0,9,153,144,2018,"NEW YORK"
"264","HOUSTON, UNIVERSITY OF",161,92,0,45,253,208,2018,"TEXAS"
"265","HOWARD UNIVERSITY",41,40,0,65,81,16,2018,"DISTRICT OF COLUMBIA"
"266","IDAHO, UNIVERSITY OF",42,29,0,9,71,62,2018,"IDAHO"
"267","ILLINOIS, UNIVERSITY OF",76,57,0,20,133,113,2018,"ILLINOIS"
"268","INDIANA UNIVERSITY - BLOOMINGTON",79,43,0,14,122,108,2018,"INDIANA"
"269","INDIANA UNIVERSITY - INDIANAPOLIS",82,68,1,14,151,137,2018,"INDIANA"
"270","INTER AMERICAN UNIVERSITY OF PUERTO RICO",67,31,0,94,98,4,2018,"PUERTO RICO"
"271","IOWA, UNIVERSITY OF",49,36,0,11,85,74,2018,"IOWA"
"272","KANSAS, UNIVERSITY OF",44,30,0,7,74,67,2018,"KANSAS"
"273","KENTUCKY, UNIVERSITY OF",41,34,0,5,75,70,2018,"KENTUCKY"
"274","LEWIS AND CLARK COLLEGE",86,58,0,19,144,125,2018,"OREGON"
"275","LIBERTY UNIVERSITY",26,9,0,7,35,28,2018,"VIRGINIA"
"276","LINCOLN MEMORIAL",19,11,0,3,30,27,2018,"DISTRICT OF COLUMBIA"
"277","LOUISIANA STATE UNIVERSITY",65,18,0,8,83,75,2018,"LOUISIANA"
"278","LOUISVILLE, UNIVERSITY OF",41,20,0,8,61,53,2018,"KENTUCKY"
"279","LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES",113,79,0,41,192,151,2018,"CALIFORNIA"
"280","LOYOLA UNIVERSITY-CHICAGO",103,100,0,24,203,179,2018,"ILLINOIS"
"281","LOYOLA UNIVERSITY-NEW ORLEANS",58,38,0,19,96,77,2018,"LOUISIANA"
"282","MAINE, UNIVERSITY OF",31,27,0,5,58,53,2018,"MAINE"
"283","MARQUETTE UNIVERSITY",75,45,0,10,120,110,2018,"WISCONSIN"
"284","MARYLAND, UNIVERSITY OF",101,70,0,24,171,147,2018,"MARYLAND"
"285","MCGEORGE SCHOOL OF LAW",69,36,0,12,105,93,2018,"CALIFORNIA"
"286","MEMPHIS, UNIVERSITY OF",40,18,0,7,58,51,2018,"TENNESSEE"
"287","MERCER UNIVERSITY",49,23,0,6,72,66,2018,"GEORGIA"
"288","MIAMI, UNIVERSITY OF",111,65,0,35,176,141,2018,"FLORIDA"
"289","MICHIGAN STATE UNIVERSITY",78,46,0,14,124,110,2018,"MICHIGAN"
"290","MICHIGAN, UNIVERSITY OF",122,76,1,21,199,178,2018,"MICHIGAN"
"291","MINNESOTA, UNIVERSITY OF",131,69,0,15,200,185,2018,"MINNESOTA"
"292","MISSISSIPPI COLLEGE",40,30,0,11,70,59,2018,"MISSISSIPPI"
"293","MISSISSIPPI, UNIVERSITY OF",41,29,0,6,70,64,2018,"MISSISSIPPI"
"294","MISSOURI, UNIVERSITY OF",33,24,0,4,57,53,2018,"MISSOURI"
"295","MISSOURI-KANSAS CITY, UNIVERSITY OF",72,44,0,8,116,108,2018,"MISSOURI"
